title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
花たちに希望を -To the Future-,st0,99e5d4a4d83d6fb16a830c57361da49b,a5da986bfc302837af78cceb93f06459558fdd12a62ceb887bb2e439cbbbbb87,-0.594,-0.020,4.297,True
Strahv -Despair & Hope-,st0,99ebcff8e051e6da68a7f8e9ae7a2fc1,9f99943a09542d175fbdc28301a13d2aed90ed35bd01b75571ad52dc7b3ecc3e,-0.826,-0.284,5.008,True
Karakuri Plum [Flora],st3,9a0207231db33e28853776c9f86eb5dd,a568202e2f6bf875ba66e872f497a9918f561811545a08d19ba8491dfebf8f1e,0.068,1.070,6.359,True
Chatblanc [La Scala],st3,9a110d94d62a74daa5d503f5b0f0f17f,f5fea993bf837e96188fd4665d29d235609a2e3b44ec433ea16c9c69d8dbf0eb,0.375,0.850,3.444,True
Snow in February [Hexagon],st1,9a71a30bb7aabb4fcacd9094d1dfaa45,e9644d07ccc7c9309f23ddc33b06428b3f5f099ffe7b177e0e361094585b06c1,-0.525,-0.005,3.333,True
ロスト：ユートピアと真理と純粋の極彩世界 -Catastrophe-,st5,9a809321618ed550f31605f27117559f,62d3d6c5d7c1d2283e313b15eaa242e4aad0c343ebc8ab4578adb2902568cad0,0.666,2.278,2.406,True
FREEDOM DiVE [Finale],st10,9aa6387767595da9660dc6e907cd3f4e,eaf2cea76ecc3c3dde31bb8e2d5c3e79c920ecb9ef994a8f076bf0d73fd63ce3,3.684,4.684,2.095,True
overtrue [Other],st6,9ac398d3e963c9338d3d0c8005bd097b,0b6f9f315b708eaf61c1d4f431d7c30b76583b38c4a6743d012ffceb3dfdc861,1.076,2.572,2.055,True
petal [LeapT],st4,9ae63deb59c4660346d1b47e8cf3c1d9,2bf3e9a8376d8f1b0d3b26dee6e4b6bbd5b21227c8cb5e2ffa1db623d9d01cff,0.871,1.994,2.711,True
APOLLON [GOD],st3,9b31cd0943d3824d8b50de1f9d08319b,4fe2b7f70a35da3fb5815602aeb030a06cc3eb08e21de863fda8eb9069ac8f80,0.229,1.090,4.331,True
Plastic Heart [Lasting Memories],st1,9b621cef2656259570ec193c1d8fa4bf,ff98c5f8a09fe6e8b9f4db41f0253c0e557b151314d82f89dfb9cd03cd54b5ac,-0.367,0.302,3.985,True
post mortal momentum [Hexagon],st6,9b7ce20c7330b9c4ec707c1149ce097b,e83a49bb712fda3865b03b7af648eb318ae4e050a5ebbb1db78c67896d775260,1.590,2.826,3.270,True
あＡアぁ亜ａァ [Forgotten Hero],st6,9bd201347125207b7acee0310a4d937b,a59ee05b2e0b4492cf15fd438ba99800ded62941134c95875a2149984169be18,1.234,2.545,3.274,True
Wish Maker 〔SP Maryther 7keys〕,st1,9bd99a0ca71caa93dfad8c08368cdd9c,11b4ad862e23dcada2fb766a4654d4c7be34301bc936e68643c745bc72de9173,-0.383,0.319,7.075,True
Start over agaIn (BMS Edit) [Restart],st4,9be766cefbfe449359f9f8dd091df5a5,29e6b24d05a037afea2c473bf5d38053889daba1e96721d6adfbab6febead1c6,0.629,1.825,5.102,True
TURNDOWN [Excelsior],st1,9c1c5469307b9e138fe832884f3a8dd0,0b5e642304fd8beb56d681031f56c907555c9d67de5ca35d095ae2313434ac95,-0.310,0.279,4.335,True
Nemesia -Xe-,st1,9c3c64cc0e14209303c04e34e687b030,1b33c6b790232e0572a999c568469dde83a4520800a5d59d4ec1474a0b44a52c,-0.346,0.273,10.936,True
Shiratsuyu [Other],st9,9c7fbabfb781ccce6a92a6c61385109e,afc16b40370138f1f9dd47c5050fe56f76fea10ac7cd8398b245d291b1bcee29,2.229,3.710,1.587,True
Happy☆mooN (MAXIMUM),st5,9ccadc27d033c4678ddb3e56289afc37,c11f413d1eafaa23a833879150495f1c281576e1f5bac619cdbc5582d9127b70,1.071,2.082,1.824,True
DEYANEN [Hexagon],st3,9cd5a316117bce74196a4fc94d56e39c,91bd7add1cbb22518e35ef986759d522a42eb49b33b78f2d4a4b08415fa2b6a3,0.316,0.655,3.185,True
大人の雛 [逆転なし],st6,9d13a0a9c14fdbe3c2c65f3c8bab4a68,ec25ca4b36aa7942da1f2ee87e9af3b97f5d9c563fc5faa46861efbc427ecb30,0.958,1.916,3.566,True
#DoomeyTunes [Maryther],st3,9d8a6df1de8609e53b90dc3fbe7200ab,2f7cefae0846fd681b4e0b8a6f94964cfd3a5f6e08c5c5723a8864497435e6c6,-0.117,0.838,4.286,True
JUMMER (LASER PSY REMIX) [3X],st0,9d91479c3d8f740f420001a62d673f01,a1a40bdf8dedd9af6f491d9c11c9f0176192cd7da29575b18553eac77a1a5a77,-0.771,-0.366,5.561,True
R.I.P.,st2,9da1984a1465ca327dcdbbc9b2b791f7,52dac1ead53b290324a2d89195d8eebc998a3973c72911bfc9fa937334b2fba8,0.137,0.680,4.463,True
壊廊 [Pentagon],st2,9dbe683eadf8d92a525bab680b0b4228,804c8962493e5d7531f1d0791784499b4bf4587583cc6eb4ab1251d0f69255aa,-0.404,0.308,4.536,True
rainbow [Black & White],st1,9dc7ff845fd555cba93a243b99e04429,0bbb990b58402933f142af87d55ed07c2159b7be176de935a96c9848a3e69e7b,-0.430,0.222,4.527,True
The deepest place cannot be above the sky [loud scream],st1,9dca6ac3593eae46ec68f92f922e154d,907a212d0ed3814ef0df26bbc1a3e929916620257f91290a9035e0fbdb94a756,-0.503,0.058,3.373,True
